config,bands,teff,feh,class,seed,p_dwarf,sig_logg,sig_feh,feh_err,logz
gri,g+r+i,4000.0,-3.0,RGB,0,0.5075,1.7351,1.462,0.752,-11.06
gri,g+r+i,4000.0,-3.0,RGB,1,0.571,1.4259,1.3919,-0.087,-11.14
gri,g+r+i,4000.0,-3.0,RGB,2,0.386,1.7119,1.5526,1.604,-11.6
gri,g+r+i,4000.0,-3.0,MS,0,0.4165,1.4307,1.2933,0.1604,-10.99
gri,g+r+i,4000.0,-3.0,MS,1,0.506,1.7585,1.7241,0.6345,-11.11
gri,g+r+i,4000.0,-3.0,MS,2,0.643,1.247,1.2543,-0.6071,-12.16
gri,g+r+i,4000.0,-2.0,RGB,0,0.325,1.4483,1.2542,-0.6002,-11.12
gri,g+r+i,4000.0,-2.0,RGB,1,0.3775,1.5787,1.4361,-0.5333,-10.81
gri,g+r+i,4000.0,-2.0,RGB,2,0.512,1.4408,1.2186,-0.9383,-11.79
gri,g+r+i,4000.0,-2.0,MS,0,0.4935,1.5193,1.5039,-0.4057,-11.08
gri,g+r+i,4000.0,-2.0,MS,1,0.5585,1.4695,1.5593,-1.1024,-11.13
gri,g+r+i,4000.0,-2.0,MS,2,0.461,1.5332,1.4755,-0.3863,-11.13
gri,g+r+i,4000.0,-1.0,RGB,0,0.3685,1.7001,1.4984,0.121,-11.42
gri,g+r+i,4000.0,-1.0,RGB,1,0.4525,1.6673,1.4948,-1.4056,-11.24
gri,g+r+i,4000.0,-1.0,RGB,2,0.3695,1.6301,1.5319,-0.6101,-11.27
gri,g+r+i,4000.0,-1.0,MS,0,0.525,1.3153,1.4707,-1.7033,-11.73
gri,g+r+i,4000.0,-1.0,MS,1,0.5365,1.3296,1.5012,-1.7536,-11.81
gri,g+r+i,4000.0,-1.0,MS,2,0.457,1.6172,1.6243,-1.0639,-11.06
gri,g+r+i,4500.0,-3.0,RGB,0,0.3065,1.7385,1.1421,-0.2884,-11.62
gri,g+r+i,4500.0,-3.0,RGB,1,0.4835,1.591,1.2276,-0.5174,-11.46
gri,g+r+i,4500.0,-3.0,RGB,2,0.424,1.6995,1.3356,-0.0049,-11.25
gri,g+r+i,4500.0,-3.0,MS,0,0.4375,1.6149,1.2447,0.0472,-11.14
gri,g+r+i,4500.0,-3.0,MS,1,0.4505,1.792,1.4882,0.5831,-10.85
gri,g+r+i,4500.0,-3.0,MS,2,0.4385,1.5257,1.1978,-0.1994,-11.21
gri,g+r+i,4500.0,-2.0,RGB,0,0.299,1.6656,1.4015,0.2537,-10.85
gri,g+r+i,4500.0,-2.0,RGB,1,0.281,1.7743,1.2091,1.7216,-11.45
gri,g+r+i,4500.0,-2.0,RGB,2,0.3645,1.7365,1.3324,-0.7076,-10.7
gri,g+r+i,4500.0,-2.0,MS,0,0.3945,1.67,1.1128,-1.2499,-11.61
gri,g+r+i,4500.0,-2.0,MS,1,0.4335,1.7487,1.4272,0.0066,-10.99
gri,g+r+i,4500.0,-2.0,MS,2,0.385,1.576,1.3192,-1.1812,-10.91
gri,g+r+i,4500.0,-1.0,RGB,0,0.421,1.7135,1.2462,-1.7933,-10.97
gri,g+r+i,4500.0,-1.0,RGB,1,0.276,1.8805,1.4629,-1.9763,-11.11
gri,g+r+i,4500.0,-1.0,RGB,2,0.528,1.677,1.0825,-2.5654,-12.39
gri,g+r+i,4500.0,-1.0,MS,0,0.3155,1.8269,1.3463,-1.2779,-10.81
gri,g+r+i,4500.0,-1.0,MS,1,0.387,1.8183,1.256,-1.8722,-10.94
gri,g+r+i,4500.0,-1.0,MS,2,0.364,1.8059,1.3983,0.6498,-11.22
gri,g+r+i,5000.0,-3.0,RGB,0,0.4,1.741,1.4103,2.002,-11.31
gri,g+r+i,5000.0,-3.0,RGB,1,0.437,1.683,1.386,0.2938,-10.56
gri,g+r+i,5000.0,-3.0,RGB,2,0.4735,1.5746,1.1886,-0.5017,-11.88
gri,g+r+i,5000.0,-3.0,MS,0,0.424,1.4686,1.1704,-0.2834,-11.84
gri,g+r+i,5000.0,-3.0,MS,1,0.416,1.5987,1.2688,0.2222,-10.83
gri,g+r+i,5000.0,-3.0,MS,2,0.504,1.5585,1.3077,-0.0639,-10.52
gri,g+r+i,5000.0,-2.0,RGB,0,0.458,1.6222,1.4629,0.2068,-10.87
gri,g+r+i,5000.0,-2.0,RGB,1,0.495,1.4939,1.4318,-0.3789,-10.77
gri,g+r+i,5000.0,-2.0,RGB,2,0.4955,1.6136,1.3877,-0.2031,-10.76
gri,g+r+i,5000.0,-2.0,MS,0,0.4655,1.5152,1.0812,-1.4603,-13.22
gri,g+r+i,5000.0,-2.0,MS,1,0.3865,1.7282,1.3123,0.2822,-10.57
gri,g+r+i,5000.0,-2.0,MS,2,0.3805,1.7751,1.0861,1.984,-11.58
gri,g+r+i,5000.0,-1.0,RGB,0,0.448,1.6393,1.3423,-1.0975,-10.41
gri,g+r+i,5000.0,-1.0,RGB,1,0.424,1.5844,1.4604,-1.3835,-10.53
gri,g+r+i,5000.0,-1.0,RGB,2,0.349,1.6721,1.3466,-2.0486,-11.11
gri,g+r+i,5000.0,-1.0,MS,0,0.422,1.5684,1.2291,-2.0596,-10.64
gri,g+r+i,5000.0,-1.0,MS,1,0.433,1.6261,1.3827,-1.3385,-10.44
gri,g+r+i,5000.0,-1.0,MS,2,0.38,1.5389,1.2457,-2.3561,-10.78
