config,bands,teff,feh,class,seed,p_dwarf,sig_logg,sig_feh,feh_err,logz
magic3,CaHK+g+i,4000.0,-3.0,RGB,0,0.4095,1.893,0.7743,0.1245,-12.45
magic3,CaHK+g+i,4000.0,-3.0,RGB,1,0.3935,1.9572,0.7831,-0.1189,-13.09
magic3,CaHK+g+i,4000.0,-3.0,RGB,2,0.436,1.8291,0.8374,0.2362,-12.97
magic3,CaHK+g+i,4000.0,-3.0,MS,0,0.3865,1.8257,0.6437,-0.0899,-13.1
magic3,CaHK+g+i,4000.0,-3.0,MS,1,0.701,1.3441,0.5454,-0.6771,-13.08
magic3,CaHK+g+i,4000.0,-3.0,MS,2,0.6725,1.4029,0.527,-1.0498,-12.36
magic3,CaHK+g+i,4000.0,-2.0,RGB,0,0.4015,1.5574,0.5251,0.5061,-13.76
magic3,CaHK+g+i,4000.0,-2.0,RGB,1,0.341,1.6456,0.4947,-0.1255,-13.47
magic3,CaHK+g+i,4000.0,-2.0,RGB,2,0.4085,1.4281,0.4304,0.5502,-13.74
magic3,CaHK+g+i,4000.0,-2.0,MS,0,0.5205,1.6703,0.6331,0.0762,-13.28
magic3,CaHK+g+i,4000.0,-2.0,MS,1,0.3535,1.788,0.7072,-0.8697,-13.01
magic3,CaHK+g+i,4000.0,-2.0,MS,2,0.5255,1.7605,0.7408,-0.3947,-13.44
magic3,CaHK+g+i,4000.0,-1.0,RGB,0,0.513,1.5862,0.5598,-0.0054,-13.18
magic3,CaHK+g+i,4000.0,-1.0,RGB,1,0.3995,1.343,0.6043,-0.0375,-13.87
magic3,CaHK+g+i,4000.0,-1.0,RGB,2,0.474,1.341,0.5559,0.5657,-14.12
magic3,CaHK+g+i,4000.0,-1.0,MS,0,0.6955,1.6025,0.7379,-1.1095,-13.02
magic3,CaHK+g+i,4000.0,-1.0,MS,1,0.568,1.7497,0.7155,-0.9073,-13.39
magic3,CaHK+g+i,4000.0,-1.0,MS,2,0.6,1.5472,0.6548,-0.8436,-13.46
magic3,CaHK+g+i,4500.0,-3.0,RGB,0,0.23,1.8509,0.6663,-0.2483,-12.74
magic3,CaHK+g+i,4500.0,-3.0,RGB,1,0.3525,1.8112,0.5138,-0.081,-13.08
