config,bands,teff,feh,class,seed,p_dwarf,sig_logg,sig_feh,feh_err,logz
no-cahk,u+g+r+i,4000.0,-3.0,RGB,0,0.59,1.8337,0.8225,0.0019,-12.79
no-cahk,u+g+r+i,4000.0,-3.0,RGB,1,0.5275,1.6923,0.8675,-0.1197,-13.37
no-cahk,u+g+r+i,4000.0,-3.0,RGB,2,0.209,1.8736,0.7933,0.0613,-13.21
no-cahk,u+g+r+i,4000.0,-3.0,MS,0,0.504,1.5999,0.5986,-0.0831,-12.53
no-cahk,u+g+r+i,4000.0,-3.0,MS,1,0.5945,1.4908,0.5647,-0.7169,-12.8
no-cahk,u+g+r+i,4000.0,-3.0,MS,2,0.71,0.9605,0.4831,-1.2951,-13.43
no-cahk,u+g+r+i,4000.0,-2.0,RGB,0,0.451,1.339,0.4084,0.4475,-13.57
no-cahk,u+g+r+i,4000.0,-2.0,RGB,1,0.445,1.5483,0.4563,0.4945,-13.29
no-cahk,u+g+r+i,4000.0,-2.0,RGB,2,0.3485,1.3377,0.3872,0.5119,-14.3
no-cahk,u+g+r+i,4000.0,-2.0,MS,0,0.432,1.5921,0.5507,-0.0869,-13.31
no-cahk,u+g+r+i,4000.0,-2.0,MS,1,0.6025,1.5666,0.7472,-1.0044,-13.06
no-cahk,u+g+r+i,4000.0,-2.0,MS,2,0.3805,1.853,0.7979,-0.3497,-13.31
no-cahk,u+g+r+i,4000.0,-1.0,RGB,0,0.434,1.7961,0.5664,0.1126,-14.04
no-cahk,u+g+r+i,4000.0,-1.0,RGB,1,0.447,1.455,0.5313,-0.3263,-13.63
no-cahk,u+g+r+i,4000.0,-1.0,RGB,2,0.385,1.7467,0.5099,0.2583,-14.06
no-cahk,u+g+r+i,4000.0,-1.0,MS,0,0.4835,1.5061,0.6609,-0.5062,-13.84
no-cahk,u+g+r+i,4000.0,-1.0,MS,1,0.518,1.4029,0.8243,-0.6477,-13.86
no-cahk,u+g+r+i,4000.0,-1.0,MS,2,0.5625,1.7267,0.7178,-0.9135,-13.15
no-cahk,u+g+r+i,4500.0,-3.0,RGB,0,0.274,1.6577,0.6763,0.1861,-13.26
no-cahk,u+g+r+i,4500.0,-3.0,RGB,1,0.4485,1.6875,0.646,-0.7158,-12.91
no-cahk,u+g+r+i,4500.0,-3.0,RGB,2,0.213,1.6551,0.6004,0.5252,-12.98
no-cahk,u+g+r+i,4500.0,-3.0,MS,0,0.252,1.7493,0.6734,0.0044,-12.03
no-cahk,u+g+r+i,4500.0,-3.0,MS,1,0.2445,1.8018,0.7622,-0.5923,-12.37
no-cahk,u+g+r+i,4500.0,-3.0,MS,2,0.4455,1.5455,0.6447,-0.8439,-12.64
no-cahk,u+g+r+i,4500.0,-2.0,RGB,0,0.2015,1.8356,0.5335,-0.5231,-12.64
no-cahk,u+g+r+i,4500.0,-2.0,RGB,1,0.071,1.2698,0.6072,-0.692,-13.71
no-cahk,u+g+r+i,4500.0,-2.0,RGB,2,0.142,1.6252,0.5296,-0.4182,-12.03
no-cahk,u+g+r+i,4500.0,-2.0,MS,0,0.496,1.3204,0.3138,0.7063,-14.52
