config,bands,teff,feh,class,seed,p_dwarf,sig_logg,sig_feh,feh_err,logz
no-u,CaHK+g+r+i,4000.0,-3.0,RGB,0,0.3925,1.805,0.7121,0.0967,-13.32
no-u,CaHK+g+r+i,4000.0,-3.0,RGB,1,0.4645,1.6303,0.6192,0.1831,-13.94
no-u,CaHK+g+r+i,4000.0,-3.0,RGB,2,0.4355,1.9075,0.7713,0.2069,-14.42
no-u,CaHK+g+r+i,4000.0,-3.0,MS,0,0.493,1.8207,0.6077,-0.0763,-13.43
no-u,CaHK+g+r+i,4000.0,-3.0,MS,1,0.5295,1.3976,0.532,-0.6159,-13.89
no-u,CaHK+g+r+i,4000.0,-3.0,MS,2,0.777,1.1147,0.4885,-1.1065,-13.8
no-u,CaHK+g+r+i,4000.0,-2.0,RGB,0,0.4355,1.2743,0.3882,0.6188,-14.07
no-u,CaHK+g+r+i,4000.0,-2.0,RGB,1,0.44,1.7238,0.4878,-0.1386,-13.52
no-u,CaHK+g+r+i,4000.0,-2.0,RGB,2,0.3245,1.2115,0.3688,0.508,-14.98
no-u,CaHK+g+r+i,4000.0,-2.0,MS,0,0.441,1.7056,0.4987,-0.1352,-13.73
no-u,CaHK+g+r+i,4000.0,-2.0,MS,1,0.5545,1.8857,0.7947,-1.0695,-13.62
no-u,CaHK+g+r+i,4000.0,-2.0,MS,2,0.622,1.7704,0.7568,-0.3857,-13.65
no-u,CaHK+g+r+i,4000.0,-1.0,RGB,0,0.5645,1.6326,0.6322,0.0789,-13.95
no-u,CaHK+g+r+i,4000.0,-1.0,RGB,1,0.339,1.3027,0.5071,-0.089,-14.03
no-u,CaHK+g+r+i,4000.0,-1.0,RGB,2,0.3885,1.3813,0.6104,0.485,-14.38
no-u,CaHK+g+r+i,4000.0,-1.0,MS,0,0.565,1.3443,0.729,-0.9582,-14.35
no-u,CaHK+g+r+i,4000.0,-1.0,MS,1,0.449,1.4956,0.7962,-0.9454,-14.65
no-u,CaHK+g+r+i,4000.0,-1.0,MS,2,0.591,1.9122,0.7323,-1.0217,-13.63
no-u,CaHK+g+r+i,4500.0,-3.0,RGB,0,0.359,2.0028,0.6663,-0.14,-13.77
no-u,CaHK+g+r+i,4500.0,-3.0,RGB,1,0.464,1.7692,0.53,-0.0906,-13.77
no-u,CaHK+g+r+i,4500.0,-3.0,RGB,2,0.2915,1.6781,0.2867,0.3597,-13.58
no-u,CaHK+g+r+i,4500.0,-3.0,MS,0,0.4685,1.7991,0.5599,-0.8617,-12.83
no-u,CaHK+g+r+i,4500.0,-3.0,MS,1,0.3545,1.9114,0.5666,-0.1737,-13.48
no-u,CaHK+g+r+i,4500.0,-3.0,MS,2,0.2985,1.6079,0.5803,-0.9265,-13.09
no-u,CaHK+g+r+i,4500.0,-2.0,RGB,0,0.23,1.7547,0.2633,-0.443,-13.6
no-u,CaHK+g+r+i,4500.0,-2.0,RGB,1,0.3935,1.9467,0.3971,0.1499,-15.39
no-u,CaHK+g+r+i,4500.0,-2.0,RGB,2,0.2705,1.6352,0.2947,-0.1328,-13.32
no-u,CaHK+g+r+i,4500.0,-2.0,MS,0,0.464,1.4659,0.2813,0.0462,-14.65
no-u,CaHK+g+r+i,4500.0,-2.0,MS,1,0.4245,1.7567,0.2949,-0.3997,-13.94
no-u,CaHK+g+r+i,4500.0,-2.0,MS,2,0.4045,1.5937,0.3215,-0.4742,-13.36
no-u,CaHK+g+r+i,4500.0,-1.0,RGB,0,0.3225,1.4483,0.4146,0.1784,-14.99
no-u,CaHK+g+r+i,4500.0,-1.0,RGB,1,0.51,1.4128,0.4509,0.3328,-13.58
no-u,CaHK+g+r+i,4500.0,-1.0,RGB,2,0.4125,1.2812,0.3403,-0.0079,-16.57
no-u,CaHK+g+r+i,4500.0,-1.0,MS,0,0.3935,1.4606,0.5136,0.3858,-13.82
no-u,CaHK+g+r+i,4500.0,-1.0,MS,1,0.3975,1.4532,0.4705,0.0237,-14.01
no-u,CaHK+g+r+i,4500.0,-1.0,MS,2,0.6555,1.3288,0.4132,0.6069,-13.62
no-u,CaHK+g+r+i,5000.0,-3.0,RGB,0,0.278,1.8252,0.6786,-0.2488,-13.59
no-u,CaHK+g+r+i,5000.0,-3.0,RGB,1,0.385,1.5837,0.5983,0.108,-12.52
no-u,CaHK+g+r+i,5000.0,-3.0,RGB,2,0.362,1.5567,0.5199,0.3146,-13.92
no-u,CaHK+g+r+i,5000.0,-3.0,MS,0,0.2815,1.6737,0.6698,-0.7207,-13.19
no-u,CaHK+g+r+i,5000.0,-3.0,MS,1,0.5155,1.4951,0.482,0.3064,-13.18
no-u,CaHK+g+r+i,5000.0,-3.0,MS,2,0.349,1.5978,0.663,-0.0544,-12.81
no-u,CaHK+g+r+i,5000.0,-2.0,RGB,0,0.417,1.5076,0.3281,-0.2225,-13.36
no-u,CaHK+g+r+i,5000.0,-2.0,RGB,1,0.5205,1.505,0.3511,-0.3573,-13.26
no-u,CaHK+g+r+i,5000.0,-2.0,RGB,2,0.4785,1.404,0.2866,-0.0092,-13.24
no-u,CaHK+g+r+i,5000.0,-2.0,MS,0,0.516,1.2805,0.296,0.4032,-16.64
no-u,CaHK+g+r+i,5000.0,-2.0,MS,1,0.4905,1.6299,0.2871,0.1592,-13.28
no-u,CaHK+g+r+i,5000.0,-2.0,MS,2,0.4025,1.6798,0.2964,0.1486,-15.78
no-u,CaHK+g+r+i,5000.0,-1.0,RGB,0,0.4445,1.7774,0.5199,0.3605,-13.51
