config,bands,teff,feh,class,seed,p_dwarf,sig_logg,sig_feh,feh_err,logz
u-magic3,u+CaHK+g+i,4000.0,-3.0,RGB,0,0.2925,1.9927,0.6017,-0.1348,-13.19
u-magic3,u+CaHK+g+i,4000.0,-3.0,RGB,1,0.4135,1.7363,0.667,0.1627,-13.75
u-magic3,u+CaHK+g+i,4000.0,-3.0,RGB,2,0.418,1.9624,0.8998,0.24,-13.11
u-magic3,u+CaHK+g+i,4000.0,-3.0,MS,0,0.464,1.7181,0.5442,-0.0004,-13.29
u-magic3,u+CaHK+g+i,4000.0,-3.0,MS,1,0.7145,1.3412,0.5968,-0.682,-13.19
u-magic3,u+CaHK+g+i,4000.0,-3.0,MS,2,0.8025,1.0479,0.485,-1.118,-13.48
u-magic3,u+CaHK+g+i,4000.0,-2.0,RGB,0,0.379,1.3925,0.408,0.4927,-13.66
u-magic3,u+CaHK+g+i,4000.0,-2.0,RGB,1,0.604,1.5608,0.51,0.0879,-15.27
u-magic3,u+CaHK+g+i,4000.0,-2.0,RGB,2,0.369,1.4827,0.4135,0.5347,-13.9
u-magic3,u+CaHK+g+i,4000.0,-2.0,MS,0,0.424,1.3625,0.5544,0.0136,-13.53
u-magic3,u+CaHK+g+i,4000.0,-2.0,MS,1,0.531,1.7434,0.6966,-0.9379,-13.04
u-magic3,u+CaHK+g+i,4000.0,-2.0,MS,2,0.665,1.6026,0.7475,-0.1137,-13.39
u-magic3,u+CaHK+g+i,4000.0,-1.0,RGB,0,0.5905,1.3146,0.4523,0.2283,-14.05
u-magic3,u+CaHK+g+i,4000.0,-1.0,RGB,1,0.3075,1.3325,0.4297,-0.2097,-13.9
u-magic3,u+CaHK+g+i,4000.0,-1.0,RGB,2,0.2815,0.981,0.3078,0.3038,-14.76
u-magic3,u+CaHK+g+i,4000.0,-1.0,MS,0,0.639,1.6301,0.7416,-0.6641,-15.3
u-magic3,u+CaHK+g+i,4000.0,-1.0,MS,1,0.569,1.487,0.7114,-0.7137,-14.07
