config,bands,teff,feh,class,seed,p_dwarf,sig_logg,sig_feh,feh_err,logz
ugi,u+g+i,4000.0,-3.0,RGB,0,0.5105,1.984,0.902,-0.0764,-12.19
ugi,u+g+i,4000.0,-3.0,RGB,1,0.4845,1.6921,0.8687,0.0155,-12.71
ugi,u+g+i,4000.0,-3.0,RGB,2,0.46,1.952,0.7237,0.2961,-12.25
ugi,u+g+i,4000.0,-3.0,MS,0,0.434,1.8833,0.6653,-0.1688,-12.08
ugi,u+g+i,4000.0,-3.0,MS,1,0.517,1.6687,0.5864,-0.951,-11.99
ugi,u+g+i,4000.0,-3.0,MS,2,0.648,1.0377,0.47,-1.2315,-12.62
ugi,u+g+i,4000.0,-2.0,RGB,0,0.405,1.5876,0.4505,0.4308,-13.06
ugi,u+g+i,4000.0,-2.0,RGB,1,0.4235,1.6361,0.5479,0.4303,-12.88
ugi,u+g+i,4000.0,-2.0,RGB,2,0.3945,1.4223,0.4122,0.5208,-13.21
ugi,u+g+i,4000.0,-2.0,MS,0,0.458,1.6467,0.57,-0.2121,-12.66
ugi,u+g+i,4000.0,-2.0,MS,1,0.599,1.6151,0.7143,-1.0032,-12.68
ugi,u+g+i,4000.0,-2.0,MS,2,0.539,2.0072,0.8413,-0.3087,-12.92
ugi,u+g+i,4000.0,-1.0,RGB,0,0.3415,1.6171,0.5256,-0.0532,-13.3
ugi,u+g+i,4000.0,-1.0,RGB,1,0.3545,1.5215,0.513,-0.2943,-13.26
ugi,u+g+i,4000.0,-1.0,RGB,2,0.2985,1.7246,0.5276,0.1802,-13.62
ugi,u+g+i,4000.0,-1.0,MS,0,0.5945,1.6767,0.772,-0.4963,-13.32
ugi,u+g+i,4000.0,-1.0,MS,1,0.6515,1.6811,0.7469,-0.6139,-12.71
ugi,u+g+i,4000.0,-1.0,MS,2,0.482,1.7422,0.693,-0.93,-12.86
ugi,u+g+i,4500.0,-3.0,RGB,0,0.1615,1.6507,0.7332,0.1415,-12.09
ugi,u+g+i,4500.0,-3.0,RGB,1,0.372,1.6472,0.6562,-0.7992,-12.09
ugi,u+g+i,4500.0,-3.0,RGB,2,0.2395,1.865,0.7003,0.3715,-12.14
ugi,u+g+i,4500.0,-3.0,MS,0,0.2565,1.781,0.7042,0.059,-11.93
ugi,u+g+i,4500.0,-3.0,MS,1,0.237,1.7978,0.7161,-0.6046,-12.06
ugi,u+g+i,4500.0,-3.0,MS,2,0.477,1.6189,0.6574,-0.7925,-11.99
ugi,u+g+i,4500.0,-2.0,RGB,0,0.12,1.5368,0.5385,-0.6182,-11.79
ugi,u+g+i,4500.0,-2.0,RGB,1,0.2095,1.7154,0.6621,-0.7858,-11.79
ugi,u+g+i,4500.0,-2.0,RGB,2,0.2215,1.753,0.4526,-0.4766,-12.28
ugi,u+g+i,4500.0,-2.0,MS,0,0.435,1.911,0.3632,0.6903,-12.98
ugi,u+g+i,4500.0,-2.0,MS,1,0.406,1.8855,0.7464,-0.8475,-12.85
ugi,u+g+i,4500.0,-2.0,MS,2,0.299,1.8189,0.5986,-0.4957,-12.46
ugi,u+g+i,4500.0,-1.0,RGB,0,0.376,1.5705,0.2655,0.4603,-13.16
ugi,u+g+i,4500.0,-1.0,RGB,1,0.355,1.7749,0.3541,-0.0287,-12.97
ugi,u+g+i,4500.0,-1.0,RGB,2,0.3215,1.6762,0.3459,-0.631,-12.79
ugi,u+g+i,4500.0,-1.0,MS,0,0.448,1.5791,0.2619,0.4777,-13.11
