config,policy,plx,branch,feh_true,gi,seed,p_rgb,feh_est,feh_lo,feh_hi,correct
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,0,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,1,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,2,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,3,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,4,1.0,-2.48,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,5,1.0,-2.44,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,6,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,7,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,8,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,9,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,10,1.0,-2.4,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,11,1.0,-2.48,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,12,1.0,-2.42,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,13,1.0,-2.46,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,14,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,15,1.0,-2.34,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,16,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,17,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,18,1.0,-2.48,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,19,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,20,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,21,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,22,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,23,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,24,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,25,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,26,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,27,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,28,1.0,-2.46,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,29,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,30,1.0,-2.48,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,31,1.0,-2.46,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,32,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,33,1.0,-2.38,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,34,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,35,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,36,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,37,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,38,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,39,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,40,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,41,1.0,-2.42,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,42,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,43,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,44,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,45,1.0,-2.42,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,46,1.0,-2.42,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,47,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,48,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,49,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,50,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,51,1.0,-2.26,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,52,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,53,1.0,-2.32,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,54,1.0,-2.4,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,55,1.0,-2.46,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,56,1.0,-2.46,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,57,1.0,-2.34,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,58,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.455,59,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.455,0,1.0,-2.44,nan,nan,0
magic-hard_p50,magic-hard,p50,MS,-2.5,0.455,1,1.0,-2.4,nan,nan,0
magic-hard_p50,magic-hard,p50,MS,-2.5,0.455,2,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.455,3,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.455,4,0.0,-2.3,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.455,5,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.455,6,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.455,7,0.0,-2.16,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.455,8,1.0,-2.5,nan,nan,0
magic-hard_p50,magic-hard,p50,MS,-2.5,0.455,9,1.0,-2.44,nan,nan,0
magic-hard_p50,magic-hard,p50,MS,-2.5,0.455,10,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.455,11,0.0,-2.36,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.455,12,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.455,13,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.455,14,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.455,15,0.0,-2.4,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.455,16,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.455,17,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.455,18,1.0,-2.5,nan,nan,0
magic-hard_p50,magic-hard,p50,MS,-2.5,0.455,19,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.455,20,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.455,21,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.455,22,1.0,-2.44,nan,nan,0
magic-hard_p50,magic-hard,p50,MS,-2.5,0.455,23,0.0,-2.04,nan,nan,1
