config,policy,plx,branch,feh_true,gi,seed,p_rgb,feh_est,feh_lo,feh_hi,correct
mixture_none,mixture,none,RGB,-2.5,0.455,0,0.7522,-2.4,-2.48,-2.28,1
mixture_none,mixture,none,RGB,-2.5,0.455,1,0.3072,-2.4,-2.48,-2.22,0
mixture_none,mixture,none,RGB,-2.5,0.455,2,0.0597,-2.22,-2.44,-1.94,0
mixture_none,mixture,none,RGB,-2.5,0.455,3,0.7051,-2.42,-2.48,-2.3,1
mixture_none,mixture,none,RGB,-2.5,0.455,4,0.0096,-1.9,-2.22,-1.66,0
mixture_none,mixture,none,RGB,-2.5,0.455,5,0.146,-2.26,-2.44,-1.98,0
mixture_none,mixture,none,RGB,-2.5,0.455,6,0.7659,-2.4,-2.48,-2.26,1
mixture_none,mixture,none,RGB,-2.5,0.455,7,0.8624,-2.46,-2.5,-2.4,1
mixture_none,mixture,none,RGB,-2.5,0.455,8,0.3968,-2.38,-2.48,-2.2,0
mixture_none,mixture,none,RGB,-2.5,0.455,9,0.8557,-2.42,-2.48,-2.32,1
mixture_none,mixture,none,RGB,-2.5,0.455,10,0.4656,-2.36,-2.46,-2.18,0
mixture_none,mixture,none,RGB,-2.5,0.455,11,0.0565,-2.22,-2.44,-1.96,0
mixture_none,mixture,none,RGB,-2.5,0.455,12,0.5908,-2.36,-2.46,-2.2,1
mixture_none,mixture,none,RGB,-2.5,0.455,13,0.5922,-2.36,-2.46,-2.22,1
mixture_none,mixture,none,RGB,-2.5,0.455,14,0.0754,-2.22,-2.42,-1.92,0
mixture_none,mixture,none,RGB,-2.5,0.455,15,0.0415,-2.0,-2.32,-1.7,0
mixture_none,mixture,none,RGB,-2.5,0.455,16,0.0051,-1.98,-2.28,-1.72,0
mixture_none,mixture,none,RGB,-2.5,0.455,17,0.2574,-2.4,-2.48,-2.18,0
mixture_none,mixture,none,RGB,-2.5,0.455,18,0.1329,-2.32,-2.46,-2.06,0
mixture_none,mixture,none,RGB,-2.5,0.455,19,0.0909,-2.32,-2.46,-2.1,0
mixture_none,mixture,none,RGB,-2.5,0.455,20,0.005,-2.06,-2.34,-1.78,0
mixture_none,mixture,none,RGB,-2.5,0.455,21,0.8286,-2.42,-2.48,-2.32,1
mixture_none,mixture,none,RGB,-2.5,0.455,22,0.3466,-2.36,-2.46,-2.14,0
mixture_none,mixture,none,RGB,-2.5,0.455,23,0.0709,-2.3,-2.46,-2.04,0
mixture_none,mixture,none,RGB,-2.5,0.455,24,0.5342,-2.42,-2.48,-2.28,1
mixture_none,mixture,none,RGB,-2.5,0.455,25,0.2976,-2.4,-2.48,-2.2,0
mixture_none,mixture,none,RGB,-2.5,0.455,26,0.4074,-2.4,-2.48,-2.26,0
mixture_none,mixture,none,RGB,-2.5,0.455,27,0.7419,-2.38,-2.48,-2.24,1
mixture_none,mixture,none,RGB,-2.5,0.455,28,0.1989,-2.32,-2.46,-2.06,0
mixture_none,mixture,none,RGB,-2.5,0.455,29,0.5942,-2.42,-2.48,-2.3,1
mixture_none,mixture,none,RGB,-2.5,0.455,30,0.0617,-2.22,-2.42,-1.96,0
mixture_none,mixture,none,RGB,-2.5,0.455,31,0.4515,-2.38,-2.48,-2.22,0
mixture_none,mixture,none,RGB,-2.5,0.455,32,0.7352,-2.4,-2.48,-2.28,1
mixture_none,mixture,none,RGB,-2.5,0.455,33,0.6008,-2.34,-2.46,-2.18,1
mixture_none,mixture,none,RGB,-2.5,0.455,34,0.7194,-2.38,-2.48,-2.26,1
mixture_none,mixture,none,RGB,-2.5,0.455,35,0.006,-2.12,-2.38,-1.86,0
