config,policy,plx,branch,feh_true,gi,seed,p_rgb,feh_est,feh_lo,feh_hi,correct
mixture_p50,mixture,p50,RGB,-2.5,0.455,0,1.0,-2.4,-2.48,-2.28,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,1,0.995,-2.46,-2.5,-2.42,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,2,0.9989,-2.44,-2.5,-2.4,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,3,0.9998,-2.42,-2.48,-2.32,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,4,0.9593,-2.42,-2.48,-2.3,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,5,1.0,-2.44,-2.48,-2.32,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,6,1.0,-2.4,-2.48,-2.26,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,7,1.0,-2.46,-2.5,-2.42,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,8,1.0,-2.42,-2.48,-2.34,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,9,1.0,-2.42,-2.48,-2.32,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,10,1.0,-2.4,-2.46,-2.26,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,11,0.9962,-2.46,-2.5,-2.42,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,12,1.0,-2.36,-2.46,-2.24,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,13,1.0,-2.38,-2.46,-2.28,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,14,1.0,-2.42,-2.48,-2.36,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,15,0.6891,-2.36,-2.44,-1.72,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,16,0.6671,-2.4,-2.48,-1.72,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,17,0.999,-2.46,-2.5,-2.42,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,18,0.9887,-2.48,-2.5,-2.38,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,19,0.9985,-2.46,-2.5,-2.4,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,20,0.9881,-2.46,-2.5,-2.4,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,21,1.0,-2.42,-2.48,-2.34,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,22,1.0,-2.42,-2.48,-2.34,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,23,1.0,-2.44,-2.5,-2.38,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,24,1.0,-2.44,-2.48,-2.36,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,25,1.0,-2.46,-2.5,-2.4,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,26,1.0,-2.44,-2.5,-2.36,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,27,1.0,-2.38,-2.48,-2.24,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,28,1.0,-2.44,-2.48,-2.38,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,29,0.8888,-2.42,-2.48,-2.34,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,30,0.9999,-2.44,-2.5,-2.4,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,31,0.9999,-2.42,-2.48,-2.3,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,32,1.0,-2.42,-2.48,-2.32,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,33,1.0,-2.34,-2.46,-2.2,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,34,1.0,-2.38,-2.48,-2.26,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,35,0.9284,-2.44,-2.5,-2.36,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,36,0.9998,-2.44,-2.5,-2.38,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,37,1.0,-2.46,-2.5,-2.42,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,38,0.998,-2.42,-2.48,-2.36,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,39,0.0996,-2.32,-2.46,-2.06,0
mixture_p50,mixture,p50,RGB,-2.5,0.455,40,1.0,-2.46,-2.5,-2.4,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,41,0.9997,-2.42,-2.48,-2.3,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,42,1.0,-2.44,-2.48,-2.32,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,43,0.9998,-2.42,-2.48,-2.32,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,44,0.9904,-2.46,-2.5,-2.4,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,45,0.9988,-2.34,-2.46,-2.22,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,46,1.0,-2.4,-2.48,-2.28,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,47,1.0,-2.44,-2.48,-2.34,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,48,0.9998,-2.42,-2.48,-2.34,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,49,1.0,-2.46,-2.5,-2.42,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,50,1.0,-2.42,-2.48,-2.3,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,51,0.999,-2.28,-2.42,-2.12,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,52,0.9999,-2.46,-2.5,-2.36,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,53,0.9999,-2.38,-2.46,-2.32,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,54,0.87,-2.44,-2.48,-2.34,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,55,1.0,-2.4,-2.48,-2.32,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,56,1.0,-2.42,-2.48,-2.3,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,57,0.9999,-2.4,-2.46,-2.34,1
mixture_p50,mixture,p50,RGB,-2.5,0.455,58,1.0,-2.48,-2.5,-2.46,1
